                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1647,                0.48661,                   1.04,                0.87806,                 0.8793,                0.92487,                0.53053,                 1.5476,                0.60529,                  1.323,              0.0099909,              0.0099909,              0.0099909
                     61,                 1.1992,                0.49624,                 1.0541,                0.88045,                0.87119,                0.92566,                0.54373,                 1.5195,                0.60009,                 1.3087,              0.0099906,              0.0099906,              0.0099906
                     62,                 1.1748,                0.48578,                 1.0523,                0.88116,                 0.8672,                0.92626,                0.54162,                 1.5364,                0.61511,                 1.3244,              0.0099902,              0.0099902,              0.0099902
                     63,                 1.1609,                0.47718,                 1.0519,                0.88398,                0.86991,                 0.9221,                0.53567,                 1.5511,                 0.6101,                  1.338,              0.0099899,              0.0099899,              0.0099899
                     64,                 1.1856,                0.49012,                 1.0404,                0.88548,                0.86209,                0.92191,                0.53454,                 1.5402,                0.61564,                 1.3226,              0.0099896,              0.0099896,              0.0099896
                     65,                 1.1317,                0.48185,                 1.0223,                0.88374,                0.86768,                0.92197,                0.53354,                 1.5343,                0.60779,                   1.32,              0.0099892,              0.0099892,              0.0099892
                     66,                 1.1373,                0.46765,                 1.0262,                0.88143,                0.86816,                0.92318,                0.54166,                 1.5375,                0.60078,                 1.3005,              0.0099889,              0.0099889,              0.0099889
                     67,                 1.1519,                0.47594,                 1.0275,                0.88303,                0.86639,                0.92399,                 0.5386,                 1.5326,                0.60653,                  1.299,              0.0099885,              0.0099885,              0.0099885
                     68,                 1.1274,                0.46445,                 1.0219,                0.87921,                0.87605,                 0.9268,                0.54596,                 1.5261,                0.60353,                 1.3107,              0.0099882,              0.0099882,              0.0099882
                     69,                 1.1271,                  0.462,                 1.0203,                0.88907,                0.86417,                0.92515,                0.54147,                 1.5302,                0.60333,                 1.3267,              0.0099878,              0.0099878,              0.0099878
                     70,                 1.1148,                0.45711,                 1.0185,                0.88094,                0.87007,                0.92367,                0.53786,                 1.5398,                0.60955,                  1.322,              0.0099875,              0.0099875,              0.0099875
                     71,                 1.1208,                0.46065,                 1.0217,                0.88082,                  0.873,                 0.9249,                0.54026,                 1.5471,                0.60948,                 1.3432,              0.0099871,              0.0099871,              0.0099871
                     72,                 1.1222,                0.45819,                   1.02,                0.88403,                0.86508,                0.92313,                0.53708,                 1.5494,                0.61214,                 1.3513,              0.0099867,              0.0099867,              0.0099867
                     73,                 1.0953,                0.45559,                 1.0125,                0.88043,                0.86972,                0.92004,                0.53727,                 1.5359,                0.61721,                 1.3462,              0.0099863,              0.0099863,              0.0099863
                     74,                 1.0752,                0.45697,                 1.0098,                 0.8862,                 0.8755,                0.92606,                0.54089,                 1.5361,                0.59093,                 1.3417,              0.0099859,              0.0099859,              0.0099859
                     75,                 1.1023,                 0.4508,                 1.0029,                0.88075,                0.87103,                 0.9238,                0.54136,                 1.5361,                0.60955,                 1.3318,              0.0099855,              0.0099855,              0.0099855
                     76,                 1.0858,                0.44694,                 1.0009,                0.88734,                0.86257,                 0.9213,                0.54402,                 1.5272,                0.61884,                 1.3337,              0.0099851,              0.0099851,              0.0099851
                     77,                  1.078,                0.44141,                 1.0054,                0.89507,                 0.8632,                0.92686,                0.54614,                 1.5334,                0.61071,                 1.3421,              0.0099847,              0.0099847,              0.0099847
                     78,                 1.0828,                0.44062,                  1.006,                0.88256,                0.86592,                0.92297,                0.54336,                 1.5346,                0.61545,                 1.3397,              0.0099843,              0.0099843,              0.0099843
                     79,                 1.0602,                0.44183,                 1.0034,                0.89186,                0.85965,                0.92104,                0.54357,                 1.5275,                0.61294,                 1.3506,              0.0099839,              0.0099839,              0.0099839
                     80,                 1.0785,                 0.4408,                 1.0039,                 0.8811,                0.87694,                0.92454,                0.54442,                 1.5306,                0.60758,                 1.3518,              0.0099835,              0.0099835,              0.0099835
                     81,                 1.0514,                0.42944,                0.99055,                0.88568,                0.85858,                0.91905,                0.54154,                 1.5395,                0.61336,                 1.3599,              0.0099831,              0.0099831,              0.0099831
